"ID","Start_time","Completion_time","StudentID","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharum","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
1,2022-11-27 17:14:24,2022-11-27 17:15:33,14644423,"2022-02","Acer rubrum","CC6250*01",,,,,,,,,,,"100","100",2022-11-27,
2,2022-11-27 17:15:37,2022-11-27 17:16:10,14644423,"2022-02","Acer saccharum",,"CC6259*04",,,,,,,,,,"100","99",2022-11-27,
3,2022-11-28 09:00:08,2022-11-28 09:08:35,88919043,"2022-02","Metasequoia glyptostroboides",,,,,"CC1126*01",,,,,,,"100","1",2022-11-28,
4,2022-11-28 11:03:59,2022-11-28 11:07:38,76160603,"2022-02","Cornus florida",,,"CC1720*01",,,,,,,,,"0","100",2022-11-28,"All the leaves fell off the tree"
5,2022-11-28 11:52:20,2022-11-28 11:54:13,33573738,"2022-03","Metasequoia glyptostroboides",,,,,"20080508*01",,,,,,,"100","100",2022-11-28,
6,2022-11-28 11:54:16,2022-11-28 11:54:55,33573738,"2022-03","Quercus alba",,,,,,,,,"CC0320*01",,,"100","95",2022-11-28,
7,2022-11-28 12:32:35,2022-11-28 12:33:45,16041831,"2022-03","Cornus florida",,,"20160323*01",,,,,,,,,"100","99",2022-11-28,
8,2022-11-28 12:33:51,2022-11-28 12:34:23,16041831,"2022-03","Fagus grandifolia/sylvatica",,,,"20130268*01",,,,,,,,"100","47",2022-11-28,
9,2022-11-28 13:23:16,2022-11-28 13:23:57,32203117,"2022-03","Platanus occidentalis",,,,,,,,"CC5484*02",,,,"100","4",2022-11-28,
10,2022-11-28 13:24:15,2022-11-28 13:25:01,32203117,"2022-03","Quercus rubra",,,,,,,,,,"89P063*02",,"100","3",2022-11-28,
11,2022-11-28 14:17:28,2022-11-28 14:19:12,49684734,"2022-03","Cornus florida",,,"20110608*01",,,,,,,,,"100","75",2022-11-28,
12,2022-11-28 14:19:15,2022-11-28 14:19:51,49684734,"2022-03","Fagus grandifolia/sylvatica",,,,"20070154*04",,,,,,,,"100","85",2022-11-28,
13,2022-11-28 15:58:23,2022-11-28 15:59:09,51159262,"2022-02","Cornus florida",,,"CC0549*01",,,,,,,,,"100","100",2022-11-28,
14,2022-11-28 15:58:33,2022-11-28 15:59:41,95137928,"2022-03","Acer saccharum",,"CC4333*01",,,,,,,,,,"100","100",2022-11-28,
15,2022-11-28 15:59:12,2022-11-28 15:59:48,51159262,"2022-02","Ostrya virginiana",,,,,,"20110263*01",,,,,,"100","100",2022-11-28,
16,2022-11-28 15:59:44,2022-11-28 16:00:22,95137928,"2022-03","Ostrya virginiana",,,,,,"CC1648*01",,,,,,"100","100",2022-11-28,
17,2022-11-28 16:04:55,2022-11-28 16:05:57,79486468,"2022-02","Pinus strobus",,,,,,,"CC4676*01",,,,,"5","0",2022-11-28,
18,2022-11-28 16:05:18,2022-11-28 16:06:13,72670152,"2022-02","Ulmus americana",,,,,,,,,,,"CC4653*01","100","100",2022-11-28,
19,2022-11-28 16:06:01,2022-11-28 16:06:47,79486468,"2022-02","Ulmus americana",,,,,,,,,,,"CC4662*01","100","100",2022-11-28,
20,2022-11-28 16:06:21,2022-11-28 16:09:34,72670152,"2022-02","Pinus strobus",,,,,,,"CC4676*02",,,,,"10","15",2022-11-28,
21,2022-11-28 16:11:05,2022-11-28 16:12:53,67257484,"2022-02","Metasequoia glyptostroboides",,,,,"CC3963*01",,,,,,,"100","95",2022-11-28,
22,2022-11-28 17:07:05,2022-11-28 17:08:50,88919043,"2022-02","Pinus strobus",,,,,,,"CC4676*03",,,,,"0","1",2022-11-28,
23,2022-11-28 17:27:53,2022-11-28 17:29:13,51439673,"2022-03","Acer rubrum","CC2943*02",,,,,,,,,,,"100","100",2022-11-28,
24,2022-11-28 17:29:15,2022-11-28 17:29:46,51439673,"2022-03","Quercus rubra",,,,,,,,,,"89P063*01",,"100","100",2022-11-28,
25,2022-11-28 17:28:57,2022-11-28 17:29:48,65254846,"2022-03","Cornus florida",,,"CC2202*01",,,,,,,,,"100","100",2022-11-28,
26,2022-11-29 09:36:39,2022-11-29 09:37:54,28121606,"2022-02","Fagus grandifolia/sylvatica",,,,"CC1623*01",,,,,,,,"100","85",2022-11-29,
27,2022-11-29 09:37:57,2022-11-29 09:39:14,28121606,"2022-02","Quercus alba",,,,,,,,,"CC6651*01",,,"100","99",2022-11-29,
28,2022-11-29 09:40:01,2022-11-29 09:40:36,70796383,"2022-02","Acer rubrum","CC2943*02",,,,,,,,,,,"100","100",2022-11-28,
29,2022-11-29 09:40:39,2022-11-29 09:41:22,70796383,"2022-02","Pinus strobus",,,,,,,"98P136*01",,,,,"5","8",2022-11-29,
30,2022-11-29 11:05:03,2022-11-29 11:09:36,76160603,"2022-02","Fagus grandifolia/sylvatica",,,,"CC1245*01",,,,,,,,"40","60",2022-11-29,"Most leaves and some branches fell off the tree"
31,2022-11-29 11:34:39,2022-11-29 11:35:13,93925890,"2022-03","Quercus rubra",,,,,,,,,,"20090665*02",,"100","100",2022-11-29,
32,2022-11-29 11:35:17,2022-11-29 11:35:42,93925890,"2022-03","Quercus rubra",,,,,,,,,,"20080059*15",,"100","100",2022-11-29,
33,2022-11-29 11:35:02,2022-11-29 11:36:01,63036438,"2022-03","Ostrya virginiana",,,,,,"20070191*02",,,,,,"100","97",2022-11-29,
34,2022-11-29 11:36:05,2022-11-29 11:36:48,63036438,"2022-03","Pinus strobus",,,,,,,"CC5067*01",,,,,"38","15",2022-11-29,
35,2022-11-29 11:45:09,2022-11-29 11:46:23,12130618,"2022-02","Acer rubrum","CC8185*03",,,,,,,,,,,"100","50",2022-11-29,
36,2022-11-29 11:46:26,2022-11-29 11:49:57,12130618,"2022-02","Ostrya virginiana",,,,,,"20090257*07",,,,,,"100","7",2022-11-29,
37,2022-11-29 11:49:57,2022-11-29 11:50:34,51419026,"2022-02","Cornus florida",,,"CC0549*01",,,,,,,,,"100","100",2022-11-29,
38,2022-11-29 11:50:37,2022-11-29 11:51:02,51419026,"2022-02","Fagus grandifolia/sylvatica",,,,"CC0255*01",,,,,,,,"100","100",2022-11-29,
39,2022-11-29 12:43:57,2022-11-29 12:48:36,81315866,"2022-02","Ulmus americana",,,,,,,,,,,"CC6397*02","0","1",2022-11-29,
40,2022-11-29 12:43:56,2022-11-29 12:51:50,81315866,"2022-02","Quercus alba",,,,,,,,,"CC6390*01",,,"0","3",2022-11-29,
41,2022-11-29 13:29:23,2022-11-29 13:31:09,27300068,"2022-03","Cornus florida",,,"CC0364*01",,,,,,,,,"100","100",2022-11-29,
42,2022-11-29 13:31:12,2022-11-29 13:32:35,27300068,"2022-03","Metasequoia glyptostroboides",,,,,"CC0357*01",,,,,,,"100","80",2022-11-29,
43,2022-11-29 13:47:14,2022-11-29 13:48:50,76913790,"2022-02","Platanus occidentalis",,,,,,,,"CC5484*04",,,,"80","60",2022-11-29,
44,2022-11-29 13:48:53,2022-11-29 13:49:26,76913790,"2022-02","Ostrya virginiana",,,,,,"CC9244*01",,,,,,"100","100",2022-11-29,
45,2022-11-29 14:07:19,2022-11-29 14:08:38,36558972,"2022-03","Cornus florida",,,"CC6272*01",,,,,,,,,"100","100",2022-11-29,
46,2022-11-29 14:08:41,2022-11-29 14:09:52,36558972,"2022-03","Acer rubrum","CC6281*01",,,,,,,,,,,"100","99",2022-11-29,
47,2022-11-29 14:13:59,2022-11-29 14:15:00,87530724,"2022-02","Quercus alba",,,,,,,,,"CC6631*01",,,"100","95",2022-11-29,
48,2022-11-29 14:15:03,2022-11-29 14:15:31,87530724,"2022-02","Ostrya virginiana",,,,,,"CC1648*01",,,,,,"100","99",2022-11-29,
49,2022-11-29 14:21:55,2022-11-29 14:22:37,73314073,"2022-03","Ostrya virginiana",,,,,,"20070191*03",,,,,,"100","98",2022-11-29,
50,2022-11-29 14:22:53,2022-11-29 14:23:27,73314073,"2022-03","Ulmus americana",,,,,,,,,,,"CC6943*01","100","96",2022-11-29,
51,2022-11-29 14:31:51,2022-11-29 14:33:33,90846142,"2022-02","Quercus alba",,,,,,,,,"CC4955*03",,,"100","30",2022-11-29,
52,2022-11-29 14:33:37,2022-11-29 14:34:26,90846142,"2022-02","Ulmus americana",,,,,,,,,,,"CC6943*01","100","99",2022-11-29,
53,2022-11-29 14:45:25,2022-11-29 14:46:10,33554723,"2022-02","Acer saccharum",,"CC6530*01",,,,,,,,,,"0","100",2022-11-29,
54,2022-11-29 14:46:13,2022-11-29 14:46:52,33554723,"2022-02","Ulmus americana",,,,,,,,,,,"CC6249*01","0","100",2022-11-29,
55,2022-11-29 15:10:24,2022-11-29 15:11:51,83823414,"2022-02","Acer rubrum","CC6281*02",,,,,,,,,,,"100","90",2022-11-29,
56,2022-11-29 15:11:54,2022-11-29 15:13:44,83823414,"2022-02","Ulmus americana",,,,,,,,,,,"CC6405*01","0","100",2022-11-29,
57,2022-11-29 16:41:24,2022-11-29 16:43:56,43406379,"2022-03","Pinus strobus",,,,,,,"98P136*01",,,,,"30","35",2022-11-29,
58,2022-11-29 16:56:52,2022-11-29 16:58:01,69373498,"2022-03","Platanus occidentalis",,,,,,,,"CC2662*01",,,,"100","89",2022-11-29,
59,2022-11-29 17:08:41,2022-11-29 17:10:32,39531346,"2022-02","Platanus occidentalis",,,,,,,,"CC5484*01",,,,"100","99.8",2022-11-29,
60,2022-11-29 17:10:37,2022-11-29 17:11:31,39531346,"2022-02","Quercus rubra",,,,,,,,,,"89P063*08",,"100","100",2022-11-29,
61,2022-11-29 17:41:10,2022-11-29 17:44:00,12269498,"2022-02","Acer rubrum","CC6281*02",,,,,,,,,,,"100","97",2022-11-29,
62,2022-11-29 17:44:03,2022-11-29 17:44:36,12269498,"2022-02","Ulmus americana",,,,,,,,,,,"CC6249*01","100","100",2022-11-29,
63,2022-11-29 17:46:57,2022-11-29 17:47:49,59891027,"2022-02","Quercus rubra",,,,,,,,,,"CC2536*01",,"100","77",2022-11-29,
64,2022-11-29 17:47:52,2022-11-29 17:48:23,59891027,"2022-02","Metasequoia glyptostroboides",,,,,"CC4184*01",,,,,,,"100","75",2022-11-29,
65,2022-11-29 18:32:34,2022-11-29 18:37:34,67952314,"2022-03","Acer saccharum",,"CC6394*01",,,,,,,,,,"100","100",2022-11-28,
66,2022-11-29 18:37:39,2022-11-29 18:38:34,67952314,"2022-03","Metasequoia glyptostroboides",,,,,"CC1024*01",,,,,,,"100","100",2022-11-28,
67,2022-11-29 20:33:00,2022-11-29 20:33:39,28323156,"2022-03","Quercus alba",,,,,,,,,"CC0239*01",,,"100","100",2022-11-29,
