"ID","Start_time","Completion_time","StudentID","Last_modified_time","SectionID","Tree_species","Accession_Acer_rubrum","Accession_Acer_saccharinum","Accession_Acer_saccharum","Accession_Cercis_canadensis","Accession_Cornus_florida","Accession_Fagus_grandifolia","Accession_Fagus_sylvatica","Accession_Gymnocladus_dioicius","Accession_Liriodendron_tulipifera","Accession_Metasequoia_glyptostroboides","Accession_Ostrya_virginiana","Accession_Pinus_strobus","Accession_Platanus_occidentalis","Accession_Quercus_alba","Accession_Quercus_macrocarpa","Accession_Quercus_rubra","Accession_Ulmus_americana","Percent_color","Percent_fallen","Photo_date","Comments"
550,2025-09-07 20:37:42,2025-09-07 20:40:19,99851566,,"2025-01","Ulmus americana (American elm)",,,,,,,,,,,,,,,,,"CC5425*06","3","5",2025-09-07,
551,2025-09-07 20:40:23,2025-09-07 20:41:09,99851566,,"2025-01","Ulmus americana (American elm)",,,,,,,,,,,,,,,,,"CC5425*07","6","9",2025-09-07,
338,2025-09-03 16:38:52,2025-09-05 18:59:02,86120914,,"2025-01","Quercus rubra (red oak)",,,,,,,,,,,,,,,,"89P063*02",,"1","0",2025-09-05,
339,2025-09-05 18:59:35,2025-09-05 19:00:50,86120914,,"2025-01","Ostrya virginiana (American hop hornbeam)",,,,,,,,,,,"20070191*02",,,,,,,"0","0",2025-09-05,
308,2025-09-05 15:05:00,2025-09-05 15:16:21,25334663,,"2025-01","Acer rubrum (red maple)","CC6281*01",,,,,,,,,,,,,,,,,"0","0",2025-09-05,"This submission has a photo of the tree itself. I will submit another form with the tag/information attached in a photo (I can only submit one photo at a time)."
309,2025-09-05 15:16:30,2025-09-05 15:18:01,25334663,,"2025-01","Acer rubrum (red maple)","CC6281*01",,,,,,,,,,,,,,,,,"0","0",2025-09-05,"This submission has a photo of the tree tag/information. I have already submitted a separate form with the same information, just with a photo of the tree itself (I cannot attach more than one photo for each form)"
310,2025-09-05 15:18:14,2025-09-05 15:20:03,25334663,,"2025-01","Ulmus americana (American elm)",,,,,,,,,,,,,,,,,"CC6405*01","2","0",2025-09-05,"This submission has a photo of the tree itself. I will submit another form with the tag/information attached in a photo (I can only submit one photo at a time)."
311,2025-09-05 15:20:13,2025-09-05 15:22:26,25334663,,"2025-01","Ulmus americana (American elm)",,,,,,,,,,,,,,,,,"CC6405*01","2","0",2025-09-05,"This submission has a photo of the tree tag/information. I have already submitted another form with a photo of the tree attached (I can only submit one photo in each form)."
278,2025-09-05 13:14:09,2025-09-05 13:19:49,77648711,,"2025-01","Cornus florida (eastern flowering dogwood)",,,,,"CC6272*01",,,,,,,,,,,,,"50","25",2025-09-05,
279,2025-09-05 13:19:55,2025-09-05 13:21:22,77648711,,"2025-01","Ulmus americana (American elm)",,,,,,,,,,,,,,,,,"CC6270*01","0","10",2025-09-05,
602,2025-09-08 12:32:54,2025-09-08 16:22:43,64464541,,"2025-01","Ulmus americana (American elm)",,,,,,,,,,,,,,,,,"CC6859*01","10","5",2025-09-07,"for some reason my form did not submit last night so I am redoing it right now. Also, I was not 100% sure if this was the right tree because of the construction I was not able to go past the black mesh fence but I will double check and make sure I have the right one when I do this upcoming submission."
